
File=Chromosome.txt, pattern='A'
ntasks=80, nthreads=1, warmups=10, runs=100

Using 80 tasks: Run no. 67: 1251521 occurrences found in 0,036270 s
Using 80 tasks: Run no. 68: 1251521 occurrences found in 0,035392 s
Using 80 tasks: Run no. 69: 1251521 occurrences found in 0,034488 s
Using 80 tasks: Run no. 70: 1251521 occurrences found in 0,034646 s
Using 80 tasks: Run no. 71: 1251521 occurrences found in 0,034501 s
Using 80 tasks: Run no. 72: 1251521 occurrences found in 0,035051 s
Using 80 tasks: Run no. 73: 1251521 occurrences found in 0,032797 s
Using 80 tasks: Run no. 74: 1251521 occurrences found in 0,033543 s
Using 80 tasks: Run no. 75: 1251521 occurrences found in 0,032416 s
Using 80 tasks: Run no. 76: 1251521 occurrences found in 0,031593 s
Using 80 tasks: Run no. 77: 1251521 occurrences found in 0,031012 s
Using 80 tasks: Run no. 78: 1251521 occurrences found in 0,031259 s
Using 80 tasks: Run no. 79: 1251521 occurrences found in 0,031224 s
Using 80 tasks: Run no. 80: 1251521 occurrences found in 0,018451 s
Using 80 tasks: Run no. 81: 1251521 occurrences found in 0,016171 s
Using 80 tasks: Run no. 82: 1251521 occurrences found in 0,015386 s
Using 80 tasks: Run no. 83: 1251521 occurrences found in 0,014519 s
Using 80 tasks: Run no. 84: 1251521 occurrences found in 0,055646 s
Using 80 tasks: Run no. 85: 1251521 occurrences found in 0,015010 s
Using 80 tasks: Run no. 86: 1251521 occurrences found in 0,015902 s
Using 80 tasks: Run no. 87: 1251521 occurrences found in 0,014895 s
Using 80 tasks: Run no. 88: 1251521 occurrences found in 0,014899 s
Using 80 tasks: Run no. 89: 1251521 occurrences found in 0,014854 s
Using 80 tasks: Run no. 90: 1251521 occurrences found in 0,014792 s
Using 80 tasks: Run no. 91: 1251521 occurrences found in 0,017044 s
Using 80 tasks: Run no. 92: 1251521 occurrences found in 0,015967 s
Using 80 tasks: Run no. 93: 1251521 occurrences found in 0,014857 s
Using 80 tasks: Run no. 94: 1251521 occurrences found in 0,014784 s
Using 80 tasks: Run no. 95: 1251521 occurrences found in 0,014703 s
Using 80 tasks: Run no. 96: 1251521 occurrences found in 0,014772 s
Using 80 tasks: Run no. 97: 1251521 occurrences found in 0,015035 s
Using 80 tasks: Run no. 98: 1251521 occurrences found in 0,014913 s
Using 80 tasks: Run no. 99: 1251521 occurrences found in 0,014914 s

Using 80 tasks (avg.): 0,030799 s


Average speedup: 2,54

